Emneord,Train_count,Test_count,Total,Train_share,Test_share
Eu/eøs,1115,279,1394,0.8,0.2
Helsevesen,801,212,1013,0.791,0.209
Trygder,781,224,1005,0.777,0.223
Grunnloven,725,176,901,0.805,0.195
Innvandrere,651,181,832,0.782,0.218
Forurensning,652,163,815,0.8,0.2
Statsbudsjettet,540,168,708,0.763,0.237
Internasjonalt samarbeid,552,147,699,0.79,0.21
Politi og påtalemyndighet,543,127,670,0.81,0.19
Menneskerettigheter,506,139,645,0.784,0.216
Kommunikasjonsteknologi,524,116,640,0.819,0.181
Forskning,484,149,633,0.765,0.235
Departementer,481,134,615,0.782,0.218
Riksrevisjonen,473,121,594,0.796,0.204
Folkehelse,485,104,589,0.823,0.177
Stortinget,459,106,565,0.812,0.188
Elektrisitet,427,116,543,0.786,0.214
Kommunenes økonomi,403,126,529,0.762,0.238
Vegvesen,415,104,519,0.8,0.2
Næringsliv,403,112,515,0.783,0.217
Kommuner,432,79,511,0.845,0.155
Naturvern,388,87,475,0.817,0.183
Miljøvern,369,96,465,0.794,0.206
Forsvar,368,93,461,0.798,0.202
Priser og konkurranseforhold,372,88,460,0.809,0.191
Olje og gass,354,94,448,0.79,0.21
Familie,353,93,446,0.791,0.209
Statsforvaltning,348,94,442,0.787,0.213
Funksjonshemmede,345,96,441,0.782,0.218
Vegtrafikk,340,95,435,0.782,0.218
Personvern,341,89,430,0.793,0.207
Barn,325,96,421,0.772,0.228
Avgifter,345,76,421,0.819,0.181
Traktater,323,92,415,0.778,0.222
Samfunnssikkerhet,322,78,400,0.805,0.195
Lokalforvaltning,302,85,387,0.78,0.22
Regjeringen,307,64,371,0.827,0.173
Kulturvern,293,77,370,0.792,0.208
Arbeidsvilkår,280,87,367,0.763,0.237
Samferdsel,295,72,367,0.804,0.196
Energi,282,85,367,0.768,0.232
Sysselsetting,299,67,366,0.817,0.183
Næringsutvikling,281,83,364,0.772,0.228
Utviklingssamarbeid,275,87,362,0.76,0.24
Forbrukersaker,288,64,352,0.818,0.182
Stortingsrepresentanter,280,71,351,0.798,0.202
Sjøfart,268,83,351,0.764,0.236
Helsepersonell,271,79,350,0.774,0.226
Statslån,267,83,350,0.763,0.237
Utenrikssaker,255,70,325,0.785,0.215
Lønn og inntekt,264,61,325,0.812,0.188
Utenrikshandel,248,73,321,0.773,0.227
Barnevern,247,72,319,0.774,0.226
Fiskerier,251,65,316,0.794,0.206
Distriktspolitikk,252,63,315,0.8,0.2
Arbeidsliv,238,76,314,0.758,0.242
Rusmidler,229,75,304,0.753,0.247
Landbruk,232,63,295,0.786,0.214
Skatter,243,52,295,0.824,0.176
Sosiale tjenester,220,72,292,0.753,0.247
Domstoler,232,58,290,0.8,0.2
Finanser,222,60,282,0.787,0.213
Rettsvesen,212,68,280,0.757,0.243
Skoler,230,45,275,0.836,0.164
Statlig eierskap,221,52,273,0.81,0.19
Statens personalpolitikk,209,61,270,0.774,0.226
Luftfart,221,46,267,0.828,0.172
Jernbaner,215,50,265,0.811,0.189
Sykehus,200,63,263,0.76,0.24
Boligsaker,194,62,256,0.758,0.242
Fylkeskommunenes økonomi,196,58,254,0.772,0.228
Merverdiavgift,191,54,245,0.78,0.22
Strafferett,200,43,243,0.823,0.177
Grunnskole,181,61,242,0.748,0.252
Kultur,204,38,242,0.843,0.157
Utdanning,183,56,239,0.766,0.234
Omsorgstjenester,185,50,235,0.787,0.213
Sykdommer,180,52,232,0.776,0.224
Valg,186,45,231,0.805,0.195
Statseiendommer,184,44,228,0.807,0.193
Sivilombudet,183,42,225,0.813,0.187
Samer,174,50,224,0.777,0.223
Forsvarsmateriell,179,45,224,0.799,0.201
Fylker,179,43,222,0.806,0.194
Høyere utdanning,175,46,221,0.792,0.208
Husbanken,161,57,218,0.739,0.261
