running_file_name, input_file_name, result_filename, Number_samples_trained, Number_labels, preprocess, TMType, Clauses, T, s, train_epochs, run_epochs,Avg_accuracy,Balanced Acc, Wt.Precision, Wt.Recall, Wt. Fscore,notes
coalescedTM_simplebow.py,simple_bag_of_words_features.pkl.gz, coalesced_simplebow.txt,578,159,Simple BOW,Coalesced,5000,3950,1,200,10, 69.45,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,8000,10000,1.0,200,1,86.38581652569941,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,8000,10000,1.0,200,1,78.55566589429549,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_3grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_3grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,12000,10000,1.0,1,100,96.8961712457244,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,12000,2000,1.0,1,10,59.49851042701092,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,12000,22000,1.0,1,10,97.86163522012578,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,12000,9000,1.0,1,10,89.64195078892199,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,12000,9000,41.0,1,10,93.77248151826106,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,8000,9000,41.0,1,10,91.09511199382104,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,6000,9000,80.0,1,10,91.76045459560851,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,4000,9000,80.0,1,10,88.09003641178418,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,7000,9000,80.0,1,10,92.41807348560079,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,7000,9000,120.0,1,10,91.22531170694029,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,7000,9000,120.0,1,10,10.993819128171761,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,7000,9000,1.0,1,10,96.71437865972675,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,1000,10000,1.0,1,10,96.36629798308392,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,7000,10000,1.0,1,10,97.1177618737801,,,,,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,7000,10000,1.0,1,10,97.24842767295598,0.0,0.0707913335650562,0.031630170316301706,0.03793421473021934,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,7000,10000,81.0,1,10,93.02374756018216,0.0,0.12290792023902779,0.1873479318734793,0.11644226406306037,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,7000,10000,81.0,1,10,92.47103608076796,0.0,0.10580869086231016,0.21179624664879357,0.12865547076239398,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,7000,10000,1.0,1,10,96.82941630806577,1.7543859649122806,0.20386228560312916,0.1126005361930295,0.07273267346522906,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,7000,10000,121.0,1,10,91.53591525984773,0.0,0.060124175662020586,0.1769436997319035,0.08154815068893215,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,7000,10000,1.0,1,10,96.73231821692596,2.631578947368421,0.2648298891156034,0.09919571045576407,0.08046381328986596,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,7000,10000,1.0,1,10,96.14586781418956,3.508771929824561,0.14792043747467862,0.13941018766756033,0.06231679985129876,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_sammendrag_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000_sammendrag.txt,452,159,CountVectorized BOW,Coalesced,7000,10000,1.0,1,10,73.93412777226085,0.0,0.060899360385367904,0.46380697050938335,0.07002354827227335,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,7000,10000,1.0,1,10,74.34070700498808,0.0,0.05734482492723288,0.4209245742092457,0.06607700914204612,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,7000,10000,1.0,1,10,96.92366081110387,0.0,0.1832048358765916,0.05596107055961071,0.045244403747276854,NA
coalescedTM_countvectorizer.py,../../processed_data/countvectorizer_2grams_10000_features.pkl.gz,../../results/coalesced_countvecbow_2grams_10000.txt,462,159,CountVectorized BOW,Coalesced,7000,10000,1.0,1,10,97.01312079809152,0.0,0.07863558034539961,0.019464720194647202,0.016124721311044785,NA
